,Tweets,cleanedTweets
112,"Leo Messi + Roger Federer. They are the face/icon of their sports, football and tennis respectively.

C. Ronaldo + Rafael Nadal, they are still on top up until today.  

Tah lah, malas nak debate pasal goat ni. Yg penting Messi+RF&gt;&gt;&gt;

🤪✌️ https://t.co/MtNlYKX26E","Leo Messi + Roger Federer. They are the face/icon of their sports, football and tennis respectively.  C. Ronaldo + Rafael Nadal, they are still on top up until today.    Tah lah, malas nak debate pasal goat ni. Yg penting Messi+RF&gt;&gt;&gt;  🤪✌️ "
113,"@LinkAegis Never watched a full futbol game until today
It was boring as fuck but the celebration was hype and Messi looking so fucking awkward and anti-social was cute
So I think I'm watching this world cup", Never watched a full futbol game until today It was boring as fuck but the celebration was hype and Messi looking so fucking awkward and anti-social was cute So I think I'm watching this world cup
114,"@Serqcs That's intresting article, i wasn't aware of that but i feel it's a very unique way of paying tribute to Diego Maradona becuse he lifted the trophy of the last Finalissma edition until today which was won by Messi's Argentina. 

This probably means it was last Finalisma edition."," That's intresting article, i wasn't aware of that but i feel it's a very unique way of paying tribute to Diego Maradona becuse he lifted the trophy of the last Finalissma edition until today which was won by Messi's Argentina.   This probably means it was last Finalisma edition."
115,"@goal @TeamMessi Won a trophy that no one knew of until today. 

International trash trophy.",  Won a trophy that no one knew of until today.   International trash trophy.
116,"@RoundleatherGuy 🤣🤣🤣🤣 but you, you are right. The whole world is saying Messi has 2 international trophy but you are crying. 

Don't care what happened in the past, that's the past. It's a major fucking trophy now. You can keep crying.
&amp; do you know bout this trophy before too until today?🤣"," 🤣🤣🤣🤣 but you, you are right. The whole world is saying Messi has 2 international trophy but you are crying.   Don't care what happened in the past, that's the past. It's a major fucking trophy now. You can keep crying. &amp; do you know bout this trophy before too until today?🤣"
117,"@ashu_sz309 @aliona_a_ The deal was bad and laporta has been trying to get better terms up until today and now he has to decide to help save the clubs transfer window coming up along with the future, without that deal Messi wasn’t coming no matter how much he cut","  The deal was bad and laporta has been trying to get better terms up until today and now he has to decide to help save the clubs transfer window coming up along with the future, without that deal Messi wasn’t coming no matter how much he cut"
118,"You remember media reported messi and stegen and people said it was lies until stegen's farewell message to messi confirmed it.
The pique telling laporta to sack messi issue came months ago and was claimed to be fake until today.
Is there actually fake reports in football?",You remember media reported messi and stegen and people said it was lies until stegen's farewell message to messi confirmed it. The pique telling laporta to sack messi issue came months ago and was claimed to be fake until today. Is there actually fake reports in football?
119,Was a Messi Fan. Until today… https://t.co/gcjykBjx7r,Was a Messi Fan. Until today… 
120,"@FuckinZibby messi still hasnt scored against inter until today brother. and rather than referee, i prefer saying the gudjohnsen mountain helped us"," messi still hasnt scored against inter until today brother. and rather than referee, i prefer saying the gudjohnsen mountain helped us"
121,"@Stonertrey1 @CaptDanky Not even bro, if you really watched okocha , you won't say that Messi is better than him... even until today jay Jay still has his skills... lately in Senegal, he played a gala match, you had to see okocha 🥰🥰","  Not even bro, if you really watched okocha , you won't say that Messi is better than him... even until today jay Jay still has his skills... lately in Senegal, he played a gala match, you had to see okocha 🥰🥰"
122,"@LFC @Thiago6 Fabinhooooooooo!!!!!

Ever since you marked Messi in our last meeting home/away with Barcelona, I've never seen you play like that again until today","  Fabinhooooooooo!!!!!  Ever since you marked Messi in our last meeting home/away with Barcelona, I've never seen you play like that again until today"
123,"@SportybetArena Until today, Messi scored more goals than Jesus had in his entire career in one year. 😭"," Until today, Messi scored more goals than Jesus had in his entire career in one year. 😭"
124,"Never heard of this kid until today &amp; I don’t understand how someone can be so 2 sided… seems like he has a terrible cocky attitude 

🇪🇸➡️🇦🇷 ❓
Messi ➡️ Ronaldo ❓ https://t.co/s52urXc4xM",Never heard of this kid until today &amp; I don’t understand how someone can be so 2 sided… seems like he has a terrible cocky attitude   🇪🇸➡️🇦🇷 ❓ Messi ➡️ Ronaldo ❓ 
125,"Always said messi was the goat until today, Ronaldo is clear https://t.co/SiiDPYSKDq","Always said messi was the goat until today, Ronaldo is clear "
126,@AlbicelesteTalk Ronaldo fans claim until today that Messi ghosted in that game. Shameless fanbase., Ronaldo fans claim until today that Messi ghosted in that game. Shameless fanbase.
127,"@borgixprxdeli Never really felt threatened like this by KDB until today. Only players I’ve felt more threatened by before were messi, ronaldo, hazard and Aguero"," Never really felt threatened like this by KDB until today. Only players I’ve felt more threatened by before were messi, ronaldo, hazard and Aguero"
128,"Adidas Predator Gold.
Newest tatoo of Lionelon El Messi in France. Fresh from microwave.

I once read. Solar panels as balloon with rope to transfer the heat of sun. 🤔 Maybe I missed a story of a kite &amp; Capt. Shazzam.

Long Distance Relationship Earth &amp; Sun. Until today.
😊❓🎶",Adidas Predator Gold. Newest tatoo of Lionelon El Messi in France. Fresh from microwave.  I once read. Solar panels as balloon with rope to transfer the heat of sun. 🤔 Maybe I missed a story of a kite &amp; Capt. Shazzam.  Long Distance Relationship Earth &amp; Sun. Until today. 😊❓🎶
129,"@Vettel_AMR I didn't actually believe this until today, Messi's hatred is fucking real....damn!! You know that one genius in class that everyone hates because he gets all the questions and can't catch up to him, Yes that's Leo. He just has nothing to prove, dude is just so good"," I didn't actually believe this until today, Messi's hatred is fucking real....damn!! You know that one genius in class that everyone hates because he gets all the questions and can't catch up to him, Yes that's Leo. He just has nothing to prove, dude is just so good"
130,"until today, i haven’t see messi with a wrist tape during a game in more than 10 years","until today, i haven’t see messi with a wrist tape during a game in more than 10 years"
131,"@kysnow445 @KohliisGoat @Pratihar1234 @ESPNFC Why ? you are so funny bro because i have never seen bigger clown until today, i never disrespected ronaldo and your slandering messi wow wrra loser lmfao.","    Why ? you are so funny bro because i have never seen bigger clown until today, i never disrespected ronaldo and your slandering messi wow wrra loser lmfao."
132,I think that Messi has never been booed by his own fans. Never ever before. Until today.,I think that Messi has never been booed by his own fans. Never ever before. Until today.
133,"@TheyloveDenz Even Aden Flint has more goals than Messi. I didn't even know an ""Aden Flint"" existed up until today. &amp; to top it off, he's a defender.😭"," Even Aden Flint has more goals than Messi. I didn't even know an ""Aden Flint"" existed up until today. &amp; to top it off, he's a defender.😭"
134,"@Cristiano Until today, as a 66yr oldTottenham Hotspur fan and former schoolboy player 69-71 there, the best players I EVER saw were #1 PELE #2BEST #3 MARADONA no longer! YOU are THE best. WELL PLAYED. Messi would've been proud of you today.👏👏🤝"," Until today, as a 66yr oldTottenham Hotspur fan and former schoolboy player 69-71 there, the best players I EVER saw were 1 PELE 2BEST 3 MARADONA no longer! YOU are THE best. WELL PLAYED. Messi would've been proud of you today.👏👏🤝"
135,"Imagine if Samuel Eto'o , Ronaldinho,Messi,Dembele trained in Naturena like they did in Sundowns grounds these  naturena clowns wld still be bragging until today tht proves which team is truly big and which team is only big with hooligans and cyber bullies https://t.co/gXK7R3KeoH","Imagine if Samuel Eto'o , Ronaldinho,Messi,Dembele trained in Naturena like they did in Sundowns grounds these  naturena clowns wld still be bragging until today tht proves which team is truly big and which team is only big with hooligans and cyber bullies "
136,"@realmadrid @iMrVoN @lukamodric10 I used to think the supernatural was not real until today, saw a figure move from my window towards the back of my wardrobe. 

Scared asf, I finally summoned courage and asked “who are you” then It replied, “my name is messi”, that was when I knew I had just encountered a ghost.","   I used to think the supernatural was not real until today, saw a figure move from my window towards the back of my wardrobe.   Scared asf, I finally summoned courage and asked “who are you” then It replied, “my name is messi”, that was when I knew I had just encountered a ghost."
137,People were pushing the “CR7 is washed” narrative without realizing until today that Messi is just as washed. Trying to watch him dribble past people today was painful,People were pushing the “CR7 is washed” narrative without realizing until today that Messi is just as washed. Trying to watch him dribble past people today was painful
138,"#Benzema was sidelined for a long long time in Europe, until today when he dominated the battle of attack against Messi-Neymar-Mbappe single handedly.

Special mention - Luca Modric, literal magician 🪄🔮

#ChampionsLeague #PSGRMA #HalaMadrid","Benzema was sidelined for a long long time in Europe, until today when he dominated the battle of attack against Messi-Neymar-Mbappe single handedly.  Special mention - Luca Modric, literal magician 🪄🔮  ChampionsLeague PSGRMA HalaMadrid"
139,"I used to think the supernatural was not real until today, saw a figure move from my window towards the back of my wardrobe. 

Scared asf, I finally summoned courage and asked “who are you” then It replied, “my name is messi”, that was when I knew I had just encountered a ghost.","I used to think the supernatural was not real until today, saw a figure move from my window towards the back of my wardrobe.   Scared asf, I finally summoned courage and asked “who are you” then It replied, “my name is messi”, that was when I knew I had just encountered a ghost."
140,"#LOOKATTHATSTAT - @santos_yeremy (@VillarrealCF) is the THIRD opponent to score a hat-trick against @DiegoLopezOf in a La Liga match. Until today it had only been achieved by the two beasts of our time: Cristiano Ronaldo (on January 9, 2011) and Messi (on March 23, 2014).","LOOKATTHATSTAT -  () is the THIRD opponent to score a hat-trick against  in a La Liga match. Until today it had only been achieved by the two beasts of our time: Cristiano Ronaldo (on January 9, 2011) and Messi (on March 23, 2014)."
141,@Ekwenuya7 @Owen52594625 @AderemiToheebA2 @gotyopima @SmallG0d @CristianoXtra_ Like are you even serious??? Messi creates up to 3 or 4 key chances every game and ppl will still say he played bad…. Never in my life have I heard the gibberish about drawing players away until today from y’all clowns,      Like are you even serious??? Messi creates up to 3 or 4 key chances every game and ppl will still say he played bad…. Never in my life have I heard the gibberish about drawing players away until today from y’all clowns
142,"@jordansolano68 @Utdsway_ @messi_opinions @Mizznaldo @ESPNFC Against an in form team that drew against Liverpool at anfield and had only 1 away loss until today, and is good enough to be in the top 6 in any other league. Next time do your research before giggling like a girl","     Against an in form team that drew against Liverpool at anfield and had only 1 away loss until today, and is good enough to be in the top 6 in any other league. Next time do your research before giggling like a girl"
143,"@GOA7EDMESSI @ExclusiveMessi @tatero10 @comano7 We are in 2022 🤣🤣🤣🤣
Messi still made Argentina drop until today 🤣🤣🤣🤣 https://t.co/QvGY1CJSBB",    We are in 2022 🤣🤣🤣🤣 Messi still made Argentina drop until today 🤣🤣🤣🤣 
144,"@guimaraestempo @mizifcb Never thought a transfer would hurt me this bad for this long— I’ve even moved on from Messi but the Neymar one still stings until today. 

So much potential, could’ve had a legacy","  Never thought a transfer would hurt me this bad for this long— I’ve even moved on from Messi but the Neymar one still stings until today.   So much potential, could’ve had a legacy"
145,@FahadBhuiyanFHD @KwAnDiLe_KwAnDa @DeadlineDayLive @Gazzetta_it Pep made before pep messi was RW pep turns him into no.9 false and he plays until today,    Pep made before pep messi was RW pep turns him into no.9 false and he plays until today
